TelematicsId,Vehicle_Id,VehicleVIN,VehicleMake,VehicleModel,TelematicsDeviceId,Timestamp,Latitude,Longitude,LocationCity,Speed,RPM,FuelLevel,FuelConsumption,BatteryLevel,EngineTemp,OilPressure,Odometer,TripDistance,TirePressure_FL,TirePressure_FR,TirePressure_RL,TirePressure_RR,IsEngineOn,IsMoving,Acceleration,HarshBraking,RapidAcceleration,Idling,DiagnosticCode,AlertType,AlertSeverity,ConnectionStatus,SignalStrength,data_source
TEL_000001,VEH_001_1,JFB27388074M0FHVY,Maruti Suzuki,Baleno,TELE_827011,2025-10-29 11:40:14,19.151081,72.838704,Mumbai,36,1861,74,6.61,0,91,31,81315,35.56,36,29,33,28,true,true,1.40,false,false,false,,None,None,Weak Signal,54,synthetic
TEL_000002,VEH_001_1,JFB27388074M0FHVY,Maruti Suzuki,Baleno,TELE_827011,2025-10-30 06:52:14,19.147873,72.791657,Mumbai,106,2360,96,10.27,0,90,49,81316,27.45,33,36,32,28,true,true,0.57,true,false,false,,Engine Check,Info,Intermittent,40,synthetic
TEL_000003,VEH_001_1,JFB27388074M0FHVY,Maruti Suzuki,Baleno,TELE_827011,2025-10-29 05:16:14,19.107024,72.834100,Mumbai,20,3890,86,14.62,0,81,63,81322,13.12,34,36,34,30,true,true,0.82,false,false,false,,Battery Low,Info,Intermittent,43,synthetic
TEL_000004,VEH_001_1,JFB27388074M0FHVY,Maruti Suzuki,Baleno,TELE_827011,2025-10-26 11:58:14,18.995293,72.822152,Mumbai,0,865,11,0.00,0,99,63,81325,39.49,34,35,29,35,true,false,0.00,false,false,false,,None,None,Weak Signal,55,synthetic
TEL_000005,VEH_001_1,JFB27388074M0FHVY,Maruti Suzuki,Baleno,TELE_827011,2025-10-26 07:03:14,19.021322,72.791293,Mumbai,60,4020,44,10.14,0,95,57,81325,17.36,36,28,29,29,true,true,1.23,true,false,false,,None,None,Connected,99,synthetic
TEL_000006,VEH_001_1,JFB27388074M0FHVY,Maruti Suzuki,Baleno,TELE_827011,2025-10-31 21:50:14,18.986300,72.904854,Mumbai,58,3361,80,6.83,0,96,39,81330,10.88,31,33,35,29,true,true,-0.47,false,false,false,,None,None,Intermittent,50,synthetic
TEL_000007,VEH_001_1,JFB27388074M0FHVY,Maruti Suzuki,Baleno,TELE_827011,2025-10-31 13:42:14,19.098310,72.794978,Mumbai,42,4363,50,12.78,0,95,63,81334,36.87,29,33,31,31,true,true,1.10,false,false,false,P0171,Low Fuel,Info,Weak Signal,31,synthetic
TEL_000008,VEH_001_1,JFB27388074M0FHVY,Maruti Suzuki,Baleno,TELE_827011,2025-10-30 00:26:14,19.142936,72.818666,Mumbai,88,2018,27,8.83,0,101,27,81347,0.67,36,30,30,29,true,true,-1.88,false,false,false,,None,None,Intermittent,49,synthetic
TEL_000009,VEH_001_1,JFB27388074M0FHVY,Maruti Suzuki,Baleno,TELE_827011,2025-10-29 18:25:14,19.169628,72.837629,Mumbai,0,844,76,0.00,0,101,57,81330,30.20,31,33,32,31,true,false,0.00,false,false,true,,None,None,Connected,83,synthetic
TEL_000010,VEH_001_1,JFB27388074M0FHVY,Maruti Suzuki,Baleno,TELE_827011,2025-10-31 08:41:14,19.017176,72.893342,Mumbai,0,0,18,0.00,0,23,0,81330,20.72,29,31,35,28,false,false,0.00,false,false,false,,Low Fuel,None,Connected,81,synthetic
TEL_000011,VEH_001_1,JFB27388074M0FHVY,Maruti Suzuki,Baleno,TELE_827011,2025-10-29 23:01:14,19.145306,72.881591,Mumbai,104,2484,44,9.80,0,91,50,81332,18.35,33,33,36,33,true,true,-1.18,true,false,false,P0171,None,None,Intermittent,41,synthetic
TEL_000012,VEH_001_1,JFB27388074M0FHVY,Maruti Suzuki,Baleno,TELE_827011,2025-10-25 11:38:14,18.980451,72.819263,Mumbai,43,3033,81,13.74,0,101,25,81367,23.07,28,30,29,35,true,true,-1.41,false,false,false,,None,None,Intermittent,55,synthetic
TEL_000013,VEH_001_1,JFB27388074M0FHVY,Maruti Suzuki,Baleno,TELE_827011,2025-11-01 14:47:14,19.082183,72.938339,Mumbai,0,0,58,0.00,0,23,0,81371,11.68,35,28,36,33,false,false,0.00,false,false,false,,Battery Low,None,Connected,100,synthetic
TEL_000014,VEH_001_1,JFB27388074M0FHVY,Maruti Suzuki,Baleno,TELE_827011,2025-11-01 13:52:14,19.131102,72.886325,Mumbai,105,3569,77,11.16,0,81,38,81372,28.28,28,28,34,28,true,true,1.83,false,false,false,,None,None,Connected,96,synthetic
TEL_000015,VEH_001_1,JFB27388074M0FHVY,Maruti Suzuki,Baleno,TELE_827011,2025-10-28 17:32:14,18.981111,72.891557,Mumbai,76,3075,54,13.48,0,101,51,81361,31.52,30,32,36,30,true,true,-0.72,true,false,false,P0420,None,None,Intermittent,67,synthetic
TEL_000016,VEH_001_1,JFB27388074M0FHVY,Maruti Suzuki,Baleno,TELE_827011,2025-10-28 21:36:14,19.084871,72.888908,Mumbai,0,842,89,0.00,0,95,62,81351,18.96,36,28,31,34,true,false,0.00,false,false,false,,None,None,Connected,97,synthetic
TEL_000017,VEH_001_1,JFB27388074M0FHVY,Maruti Suzuki,Baleno,TELE_827011,2025-10-26 23:00:14,19.113799,72.822748,Mumbai,109,4049,98,6.59,0,98,36,81370,5.53,33,30,36,30,true,true,0.67,false,false,false,,None,None,Connected,79,synthetic
TEL_000018,VEH_001_1,JFB27388074M0FHVY,Maruti Suzuki,Baleno,TELE_827011,2025-10-29 22:11:14,19.148508,72.942245,Mumbai,101,4107,13,12.39,0,82,44,81345,40.95,29,33,32,34,true,true,0.02,true,false,false,P0420,Low Tire Pressure,Critical,Intermittent,44,synthetic
TEL_000019,VEH_001_1,JFB27388074M0FHVY,Maruti Suzuki,Baleno,TELE_827011,2025-10-25 02:47:14,19.104553,72.832162,Mumbai,105,2601,86,12.93,0,92,29,81351,20.96,31,35,30,28,true,true,-1.75,true,false,false,,None,None,Weak Signal,55,synthetic
TEL_000020,VEH_001_1,JFB27388074M0FHVY,Maruti Suzuki,Baleno,TELE_827011,2025-11-01 07:22:14,18.993947,72.801874,Mumbai,0,763,61,0.00,0,85,64,81373,19.08,31,35,29,29,true,false,0.00,false,false,false,,None,None,Intermittent,48,synthetic
TEL_000021,VEH_002_1,YLJ584967K4051A03,Kia,Seltos,TELE_612138,2025-10-25 17:33:14,27.007807,75.694408,Jaipur,0,0,0,0.00,98,40,0,18867,19.80,34,33,29,28,false,false,0.00,false,false,false,,None,None,Weak Signal,70,synthetic
TEL_000022,VEH_002_1,YLJ584967K4051A03,Kia,Seltos,TELE_612138,2025-10-26 18:44:14,26.896181,75.835986,Jaipur,0,0,0,0.00,24,20,0,18869,24.43,29,32,28,28,false,false,0.00,false,false,false,,None,None,Intermittent,52,synthetic
TEL_000023,VEH_002_1,YLJ584967K4051A03,Kia,Seltos,TELE_612138,2025-10-30 22:41:14,26.967872,75.878960,Jaipur,0,616,0,0.00,35,102,30,18869,24.57,33,29,30,28,true,false,0.00,false,false,true,P0171,Battery Low,Warning,Weak Signal,58,synthetic
TEL_000024,VEH_002_1,YLJ584967K4051A03,Kia,Seltos,TELE_612138,2025-10-31 08:44:14,26.860207,75.780010,Jaipur,50,4089,0,0.00,94,98,45,18880,32.13,31,29,31,35,true,true,-1.82,true,false,false,,None,None,Connected,62,synthetic
TEL_000025,VEH_002_1,YLJ584967K4051A03,Kia,Seltos,TELE_612138,2025-10-25 23:55:14,26.898799,75.756337,Jaipur,0,0,0,0.00,98,21,0,18873,10.08,28,35,30,32,false,false,0.00,false,false,false,,None,None,Weak Signal,47,synthetic
TEL_000026,VEH_002_1,YLJ584967K4051A03,Kia,Seltos,TELE_612138,2025-10-31 07:21:14,26.923098,75.806928,Jaipur,52,2633,0,0.00,83,98,25,18890,49.30,31,29,29,30,true,true,1.52,true,false,false,,None,None,Intermittent,63,synthetic
TEL_000027,VEH_002_1,YLJ584967K4051A03,Kia,Seltos,TELE_612138,2025-10-30 03:28:14,26.915606,75.697582,Jaipur,66,2453,0,0.00,26,88,35,18883,10.38,33,33,30,33,true,true,0.97,false,false,false,P0300,None,None,Weak Signal,38,synthetic
TEL_000028,VEH_002_1,YLJ584967K4051A03,Kia,Seltos,TELE_612138,2025-10-27 18:39:14,26.816156,75.723555,Jaipur,45,4061,0,0.00,30,84,49,18897,26.26,28,29,33,30,true,true,1.58,true,true,false,,None,None,Intermittent,51,synthetic
TEL_000029,VEH_002_1,YLJ584967K4051A03,Kia,Seltos,TELE_612138,2025-10-31 06:38:14,27.001812,75.770817,Jaipur,39,3081,0,0.00,63,99,54,18897,25.85,29,28,30,36,true,true,0.04,false,false,false,,None,None,Weak Signal,39,synthetic
TEL_000030,VEH_002_1,YLJ584967K4051A03,Kia,Seltos,TELE_612138,2025-10-30 03:39:14,27.003943,75.814108,Jaipur,68,2176,0,0.00,25,98,64,18900,47.12,30,29,34,31,true,true,-0.89,true,false,false,,None,None,Weak Signal,38,synthetic
TEL_000031,VEH_002_1,YLJ584967K4051A03,Kia,Seltos,TELE_612138,2025-10-31 18:25:14,26.995732,75.799559,Jaipur,33,2342,0,0.00,51,82,58,18904,41.08,32,29,30,29,true,true,-0.30,false,false,false,,None,None,Weak Signal,49,synthetic
TEL_000032,VEH_002_1,YLJ584967K4051A03,Kia,Seltos,TELE_612138,2025-10-28 23:20:14,26.858903,75.696147,Jaipur,99,3539,0,0.00,68,104,28,18908,45.98,29,33,28,31,true,true,0.39,true,false,false,P0442,None,None,Connected,98,synthetic
TEL_000033,VEH_002_1,YLJ584967K4051A03,Kia,Seltos,TELE_612138,2025-10-30 19:27:14,26.843183,75.741177,Jaipur,24,1584,0,0.00,54,91,35,18926,5.40,35,29,33,36,true,true,0.80,false,false,false,,Battery Low,None,Intermittent,47,synthetic
TEL_000034,VEH_002_1,YLJ584967K4051A03,Kia,Seltos,TELE_612138,2025-10-26 02:35:14,26.937449,75.695822,Jaipur,95,2387,0,0.00,93,102,51,18909,12.70,32,29,31,32,true,true,0.31,false,false,false,,None,None,Connected,63,synthetic
TEL_000035,VEH_002_1,YLJ584967K4051A03,Kia,Seltos,TELE_612138,2025-10-30 12:48:14,26.906594,75.716219,Jaipur,72,2562,0,0.00,43,88,63,18905,39.70,28,29,29,36,true,true,-1.77,false,false,false,P0442,None,None,Intermittent,54,synthetic
TEL_000036,VEH_002_1,YLJ584967K4051A03,Kia,Seltos,TELE_612138,2025-11-01 16:51:14,27.009780,75.821935,Jaipur,81,3848,0,0.00,37,91,48,18893,14.66,32,28,31,32,true,true,0.90,false,false,false,P0171,None,None,Weak Signal,46,synthetic
